material_id,中文名,英文名,实体类型,父级ID,分类路径
steel,钢,Steel,family,ferrous_metals,金属与合金 > 黑色金属 > 钢
cast_iron,铸铁,Cast Iron,family,ferrous_metals,金属与合金 > 黑色金属 > 铸铁
stainless_steel,不锈钢,Stainless Steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 不锈钢
tool_steel,工具钢,Tool Steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 工具钢
high_speed_steel,高速钢,High Speed Steel,subfamily,tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 高速工具钢
aluminum_alloy,铝合金,Aluminum Alloy,family,nonferrous_metals,金属与合金 > 有色金属 > 铝及铝合金
magnesium_alloy,镁合金,Magnesium Alloy,family,nonferrous_metals,金属与合金 > 有色金属 > 镁及镁合金
titanium_alloy,钛合金,Titanium Alloy,family,nonferrous_metals,金属与合金 > 有色金属 > 钛及钛合金
copper_alloy,铜合金,Copper Alloy,family,nonferrous_metals,金属与合金 > 有色金属 > 铜及铜合金
nickel_alloy,镍合金,Nickel Alloy,family,nonferrous_metals,金属与合金 > 有色金属 > 镍及镍合金
nickel_superalloy,镍基高温合金,Nickel-based Superalloy,subfamily,superalloys,金属与合金 > 高温合金 > 镍基高温合金
cobalt_superalloy,钴基高温合金,Cobalt-based Superalloy,subfamily,superalloys,金属与合金 > 高温合金 > 钴基高温合金
polyethylene,聚乙烯,Polyethylene,family,polyolefins,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯
polypropylene,聚丙烯,Polypropylene,family,polyolefins,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚丙烯
polyvinyl_chloride,聚氯乙烯,Polyvinyl Chloride,material,,高分子材料 > 热塑性塑料 > 含氯聚合物 > 聚氯乙烯
polystyrene,聚苯乙烯,Polystyrene,family,styrenic_polymers,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > 聚苯乙烯
abs,丙烯腈-丁二烯-苯乙烯,Acrylonitrile Butadiene Styrene,material,styrenic_polymers,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > ABS
polyamide,聚酰胺,Polyamide,family,engineering_thermoplastics,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺
polycarbonate,聚碳酸酯,Polycarbonate,family,engineering_thermoplastics,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚碳酸酯
