material_id,name_cn,name_en,category_1,entity_type,parent_id,required_images,recommended_images,optional_images,not_applicable_images,own_images,inherited_images,missing_required,missing_recommended,policy_status,policy_reason
steel,钢,Steel,金属与合金,family,ferrous_metals,macro,micro,structure,,macro,,,micro,必需已满足，建议补充,钢保留宏观必需、显微组织建议、结构图可选的基础策略。
cast_iron,铸铁,Cast Iron,金属与合金,family,ferrous_metals,macro,micro,structure,,macro,,,micro,必需已满足，建议补充,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
stainless_steel,不锈钢,Stainless Steel,金属与合金,subfamily,steel,macro,micro,structure,,macro,,,micro,必需已满足，建议补充,不锈钢家族建议补充代表性显微组织，具体牌号可继承。
tool_steel,工具钢,Tool Steel,金属与合金,subfamily,steel,macro,micro,structure,,,macro,,micro,必需已满足，建议补充,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
high_speed_steel,高速钢,High Speed Steel,金属与合金,subfamily,tool_steel,macro,micro,structure,,,macro,,micro,必需已满足，建议补充,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
aluminum_alloy,铝合金,Aluminum Alloy,金属与合金,family,nonferrous_metals,macro,micro,structure,,,,macro,micro,缺少必需图片,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
magnesium_alloy,镁合金,Magnesium Alloy,金属与合金,family,nonferrous_metals,macro,micro,structure,,,,macro,micro,缺少必需图片,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
titanium_alloy,钛合金,Titanium Alloy,金属与合金,family,nonferrous_metals,macro,micro,structure,,macro,,,micro,必需已满足，建议补充,钛合金家族建议展示代表性相组织，具体牌号不强制独立配置。
copper_alloy,铜合金,Copper Alloy,金属与合金,family,nonferrous_metals,macro,micro,structure,,,,macro,micro,缺少必需图片,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
nickel_alloy,镍合金,Nickel Alloy,金属与合金,family,nonferrous_metals,macro,micro,structure,,,,macro,micro,缺少必需图片,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
nickel_superalloy,镍基高温合金,Nickel-based Superalloy,金属与合金,subfamily,superalloys,macro,micro,structure,,,,macro,micro,缺少必需图片,镍基高温合金建议展示代表性析出相或晶粒组织。
cobalt_superalloy,钴基高温合金,Cobalt-based Superalloy,金属与合金,subfamily,superalloys,macro,micro,structure,,,,macro,micro,缺少必需图片,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
polyethylene,聚乙烯,Polyethylene,高分子材料,family,polyolefins,macro,structure,micro,,macro; structure,,,,已满足配图策略,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
polypropylene,聚丙烯,Polypropylene,高分子材料,family,polyolefins,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
polyvinyl_chloride,聚氯乙烯,Polyvinyl Chloride,高分子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
polystyrene,聚苯乙烯,Polystyrene,高分子材料,family,styrenic_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
abs,丙烯腈-丁二烯-苯乙烯,Acrylonitrile Butadiene Styrene,高分子材料,material,styrenic_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
polyamide,聚酰胺,Polyamide,高分子材料,family,engineering_thermoplastics,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
polycarbonate,聚碳酸酯,Polycarbonate,高分子材料,family,engineering_thermoplastics,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
pom,聚甲醛,Polyoxymethylene,高分子材料,family,engineering_thermoplastics,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
pet,聚对苯二甲酸乙二醇酯,Polyethylene Terephthalate,高分子材料,family,thermoplastic_polyesters,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
pbt,聚对苯二甲酸丁二醇酯,Polybutylene Terephthalate,高分子材料,family,thermoplastic_polyesters,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
peek,聚醚醚酮,Polyether ether ketone,高分子材料,family,high_performance_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
polyimide,聚酰亚胺,Polyimide,高分子材料,family,high_performance_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
pps,聚苯硫醚,Polyphenylene Sulfide,高分子材料,family,high_performance_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
ptfe,聚四氟乙烯,Polytetrafluoroethylene,高分子材料,family,fluoropolymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
lcp,液晶聚合物,Liquid Crystal Polymer,高分子材料,family,high_performance_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
natural_rubber,天然橡胶,Natural Rubber,高分子材料,material,elastomers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
silicone_rubber,硅橡胶,Silicone Rubber,高分子材料,material,elastomers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
fluororubber,氟橡胶,Fluoroelastomer,高分子材料,material,elastomers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
epoxy_resin,环氧树脂,Epoxy Resin,高分子材料,family,thermosetting_resins,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
